Variable,Mexico,USA
"Cholera Cases per 100,000 people - Mean (SD)",22.46 (14.41),24.97 (14.51)
"Diarrheal Cases per 100,000 people - Mean (SD)",279.64 (142.21),217.44 (136.61)
Healthcare Access Index (0-100) - Mean (SD),48.26 (30.11),55.08 (30.86)
Urbanization Rate (%) - Mean (SD),51.47 (23.04),49.06 (23.88)
Region: Central,17 (18.1%),19 (20.0%)
Region: East,17 (18.1%),25 (26.3%)
Region: North,21 (22.3%),17 (17.9%)
Region: South,14 (14.9%),16 (16.8%)
Region: West,25 (26.6%),18 (18.9%)
Water Source Type: Lake,11 (11.7%),20 (21.1%)
Water Source Type: Pond,14 (14.9%),11 (11.6%)
Water Source Type: River,23 (24.5%),13 (13.7%)
Water Source Type: Spring,14 (14.9%),19 (20.0%)
Water Source Type: Tap,13 (13.8%),15 (15.8%)
Water Source Type: Well,19 (20.2%),17 (17.9%)
