Variable,Bangladesh,Brazil,China,Ethiopia,India,Indonesia,Mexico,Nigeria,Pakistan,USA
Lead Concentration (µg/L) - Mean (SD),9.36 (6.32),12.90 (4.93),12.85 (5.37),13.48 (5.12),7.67 (8.57),8.22 (5.86),10.46 (5.59),12.07 (5.72),11.06 (6.87),8.64 (5.50)
Access to Clean Water (% of Population) - Mean (SD),91.06 (6.70),67.19 (29.93),69.86 (16.26),68.30 (20.92),60.80 (32.18),62.14 (25.93),67.32 (21.91),62.77 (20.25),72.41 (22.00),62.77 (22.17)
Healthcare Access Index (0-100) - Mean (SD),52.36 (26.70),38.92 (36.69),32.50 (24.65),57.45 (26.06),10.39 (12.10),56.63 (26.75),48.59 (26.62),47.70 (29.10),51.41 (22.73),67.57 (31.41)
Urbanization Rate (%) - Mean (SD),47.96 (23.74),37.64 (19.35),47.47 (25.26),53.63 (20.74),17.06 (0.73),42.37 (21.67),62.81 (22.80),47.57 (21.29),56.16 (24.13),56.93 (26.56)
Region: Central,0 (0.0%),0 (0.0%),2 (16.7%),1 (8.3%),0 (0.0%),2 (28.6%),3 (30.0%),1 (10.0%),6 (46.2%),1 (8.3%)
Region: East,0 (0.0%),4 (66.7%),2 (16.7%),1 (8.3%),1 (50.0%),2 (28.6%),2 (20.0%),3 (30.0%),1 (7.7%),2 (16.7%)
Region: North,2 (33.3%),0 (0.0%),7 (58.3%),1 (8.3%),0 (0.0%),1 (14.3%),2 (20.0%),0 (0.0%),2 (15.4%),3 (25.0%)
Region: South,0 (0.0%),2 (33.3%),1 (8.3%),3 (25.0%),1 (50.0%),2 (28.6%),2 (20.0%),1 (10.0%),2 (15.4%),2 (16.7%)
Region: West,4 (66.7%),0 (0.0%),0 (0.0%),6 (50.0%),0 (0.0%),0 (0.0%),1 (10.0%),5 (50.0%),2 (15.4%),4 (33.3%)
Water Source Type: Lake,2 (33.3%),0 (0.0%),2 (16.7%),3 (25.0%),0 (0.0%),2 (28.6%),0 (0.0%),3 (30.0%),1 (7.7%),1 (8.3%)
Water Source Type: Pond,1 (16.7%),3 (50.0%),1 (8.3%),3 (25.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (23.1%),2 (16.7%)
Water Source Type: River,0 (0.0%),3 (50.0%),2 (16.7%),0 (0.0%),2 (100.0%),1 (14.3%),1 (10.0%),1 (10.0%),1 (7.7%),1 (8.3%)
Water Source Type: Spring,1 (16.7%),0 (0.0%),4 (33.3%),6 (50.0%),0 (0.0%),2 (28.6%),1 (10.0%),1 (10.0%),2 (15.4%),1 (8.3%)
Water Source Type: Tap,2 (33.3%),0 (0.0%),2 (16.7%),0 (0.0%),0 (0.0%),1 (14.3%),4 (40.0%),3 (30.0%),3 (23.1%),1 (8.3%)
Water Source Type: Well,0 (0.0%),0 (0.0%),1 (8.3%),0 (0.0%),0 (0.0%),1 (14.3%),4 (40.0%),2 (20.0%),3 (23.1%),6 (50.0%)
