Country,Lead (µg/L),Bacteria count (CFU/mL),"Cholera cases per 100,000","Diarrheal cases per 100,000",Access to clean water (%),Sanitation coverage (%),Urbanization rate (%),Healthcare Access Index,Population density (people/km²),GDP per capita (USD)
Bangladesh,10.32 (5.93),2491.28 (1348.20),23.99 (14.63),248.57 (141.84),64.40 (19.92),61.79 (22.45),49.30 (23.43),48.98 (28.92),491.59 (285.11),48973.38 (28720.48)
Brazil,9.88 (5.73),2412.04 (1453.39),22.56 (13.91),261.34 (143.66),64.16 (19.96),61.50 (22.98),52.50 (23.00),49.64 (28.78),496.01 (274.41),50334.17 (28797.24)
China,10.23 (5.74),2433.44 (1465.60),25.03 (14.63),241.36 (147.60),66.53 (20.45),62.75 (23.14),49.93 (23.94),48.84 (28.66),534.88 (280.36),50368.75 (28820.39)
Ethiopia,10.29 (5.70),2510.63 (1430.88),24.75 (14.42),248.88 (146.62),63.57 (19.61),60.30 (22.79),52.20 (22.96),49.04 (29.28),521.88 (275.04),51939.93 (27436.11)
India,10.38 (5.72),2403.96 (1455.17),25.02 (13.88),254.14 (145.30),65.45 (19.89),59.72 (23.69),50.34 (22.36),50.72 (27.85),510.57 (283.39),47883.12 (28926.94)
Indonesia,10.12 (5.90),2532.33 (1466.45),23.96 (14.09),248.18 (143.92),65.70 (20.55),60.15 (23.71),50.68 (23.22),50.39 (29.63),508.15 (278.38),51554.04 (28315.28)
Mexico,9.94 (5.94),2676.33 (1393.57),23.65 (14.83),260.17 (142.40),65.43 (20.81),57.26 (23.16),48.24 (22.22),50.71 (29.13),486.90 (286.16),49210.82 (29048.48)
Nigeria,9.55 (5.78),2482.79 (1396.42),24.22 (13.68),246.93 (140.43),63.54 (20.58),60.44 (23.17),48.54 (22.31),52.27 (29.05),480.48 (297.54),49005.73 (27603.31)
Pakistan,10.35 (5.84),2488.81 (1473.51),24.52 (14.94),250.19 (146.52),63.39 (20.35),60.79 (22.88),49.81 (21.74),50.06 (28.09),489.92 (282.65),51556.98 (28401.20)
USA,9.50 (5.71),2459.71 (1426.92),24.72 (14.33),239.97 (143.35),63.97 (20.88),58.95 (23.44),49.24 (22.45),49.59 (29.69),531.04 (286.23),49514.05 (29952.85)
