Country,Region,Year,Water Source Type,Lead Concentration (µg/L),Lead Risk,Access to Clean Water (% of Population),Healthcare Access Index (0-100),Urbanization Rate (%)
India,East,2024,River,1.61,Low Risk,83.55,18.94,17.58
China,North,2024,Spring,14.7,Low Risk,55.8,57.06,37.02
Bangladesh,West,2024,Lake,14.18,Low Risk,96.55,58.41,10.6
Mexico,East,2024,Well,1.51,Low Risk,95.28,8.42,38.3
China,East,2024,Spring,4.92,Low Risk,68.6,4.97,60.61
Indonesia,Central,2024,Lake,6.48,Low Risk,35.67,77.53,61.86
Nigeria,South,2024,Well,14.68,Low Risk,58.82,1.54,21.79
Ethiopia,West,2024,Lake,19.94,High Risk,33.58,61.44,73.63
Mexico,Central,2024,Tap,17.82,High Risk,46.06,20.69,58.99
Ethiopia,West,2024,Pond,17.08,High Risk,39.5,69.65,14.08
Pakistan,West,2024,Tap,16.02,High Risk,36.63,32.02,32.42
Pakistan,West,2024,River,1.18,Low Risk,78.25,40.79,71.77
Brazil,South,2024,Pond,12.91,Low Risk,91.55,39.62,66.74
Ethiopia,Central,2024,Pond,18.4,High Risk,51.28,94.84,56.78
Ethiopia,West,2024,Lake,11.7,Low Risk,71.63,25.73,54.37
Bangladesh,North,2024,Pond,8.19,Low Risk,86.63,80.7,76.62
Nigeria,West,2024,River,17.79,High Risk,61.85,99.62,66.06
Pakistan,East,2024,Pond,19.89,High Risk,71.02,65.47,20.27
USA,West,2024,Well,8.01,Low Risk,35.07,85.83,78.98
Pakistan,Central,2024,Spring,10.04,Low Risk,85.42,54.71,35.88
USA,South,2024,River,12.01,Low Risk,59.48,3.01,58.24
Mexico,South,2024,Well,5.87,Low Risk,56.73,68.04,19.11
Bangladesh,West,2024,Tap,7.11,Low Risk,97.38,77.39,38.82
USA,North,2024,Lake,14.25,Low Risk,94.4,12.81,23.55
Pakistan,South,2024,Tap,7.42,Low Risk,62.03,35.01,60.2
USA,Central,2024,Pond,4.73,Low Risk,42.85,99.27,18.15
Indonesia,East,2024,Lake,15.58,High Risk,84.15,24.4,35.26
USA,East,2024,Tap,1.91,Low Risk,35.82,94.57,80.88
Mexico,North,2024,Well,9.23,Low Risk,34.0,78.58,87.98
China,North,2024,Well,6.86,Low Risk,55.56,75.77,89.02
Nigeria,East,2024,Tap,7.34,Low Risk,43.16,65.01,37.86
Nigeria,Central,2024,Lake,14.01,Low Risk,49.4,43.39,73.11
Ethiopia,West,2024,Spring,11.96,Low Risk,51.66,35.35,58.16
Brazil,East,2024,River,18.09,High Risk,33.24,2.09,51.62
Mexico,North,2024,Tap,15.63,High Risk,74.51,43.58,54.45
Mexico,East,2024,River,5.05,Low Risk,79.4,32.83,85.26
Brazil,East,2024,Pond,16.92,High Risk,31.33,55.19,26.58
