Country,Region,Year,Water Source Type,"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people",Healthcare Access Index (0-100),Urbanization Rate (%)
Mexico,North,2015,Lake,472,33,96.92,84.61
Mexico,West,2014,River,63,38,53.6,78.63
USA,Central,2022,Tap,455,47,99.83,59.38
Mexico,South,2022,River,21,25,4.44,25.34
USA,East,2014,Lake,441,39,91.15,46.22
USA,East,2020,Pond,419,28,79.31,12.69
Mexico,West,2018,Well,141,9,55.64,47.53
Mexico,South,2014,Spring,280,28,49.78,69.14
Mexico,South,2018,Well,206,31,13.25,79.96
USA,Central,2014,Lake,378,21,57.73,65.82
USA,North,2020,Spring,72,48,47.36,75.29
USA,East,2016,Pond,356,27,31.64,88.11
Mexico,East,2024,Well,247,37,8.42,38.3
USA,East,2016,Spring,87,43,22.14,42.31
USA,South,2020,Spring,35,36,93.0,70.6
USA,West,2017,Tap,475,16,60.51,24.81
Mexico,East,2015,Pond,444,7,16.47,56.52
USA,Central,2017,Well,428,29,34.42,38.09
USA,North,2019,Spring,116,35,30.52,27.73
USA,Central,2020,Well,286,8,27.67,42.4
USA,East,2023,River,370,49,23.91,38.85
Mexico,West,2019,Spring,180,5,27.52,19.36
Mexico,West,2016,Well,24,34,52.29,48.29
USA,North,2020,River,187,31,52.5,75.01
USA,West,2015,River,259,10,69.96,11.73
USA,South,2022,Well,146,14,93.78,17.95
USA,North,2019,Tap,44,12,5.9,79.08
Mexico,West,2017,Spring,466,42,92.54,23.87
USA,South,2018,Lake,202,37,68.05,28.28
Mexico,Central,2020,River,414,40,74.71,71.62
USA,North,2020,Tap,130,15,40.18,73.87
Mexico,East,2014,Tap,92,35,35.21,58.47
Mexico,Central,2016,Pond,357,35,12.06,55.0
USA,West,2023,Spring,245,3,0.44,29.19
Mexico,North,2022,Spring,213,38,23.93,68.95
Mexico,Central,2016,River,241,6,99.59,24.89
USA,East,2018,River,78,21,71.2,28.45
Mexico,Central,2024,Tap,175,6,20.69,58.99
Mexico,South,2015,Well,272,7,81.79,42.52
USA,West,2017,Pond,352,17,99.91,67.15
Mexico,North,2021,Pond,238,2,67.31,39.36
USA,North,2023,River,49,31,26.27,83.9
USA,East,2018,Pond,314,12,8.24,82.76
USA,East,2020,Spring,189,28,62.03,14.42
USA,West,2023,Spring,295,26,34.34,51.89
Mexico,West,2017,Pond,408,6,92.81,16.5
USA,Central,2023,Tap,340,46,17.81,41.96
Mexico,East,2019,River,476,23,8.67,27.03
Mexico,North,2018,Well,122,37,14.23,87.35
USA,West,2021,Spring,372,44,29.88,49.05
Mexico,West,2017,River,372,47,9.63,44.83
USA,North,2020,Lake,403,41,19.1,38.28
Mexico,East,2017,Pond,168,16,83.36,12.28
Mexico,West,2021,River,459,5,77.84,47.5
USA,Central,2015,Spring,325,39,23.46,55.02
Mexico,East,2014,River,373,25,73.22,85.78
Mexico,West,2017,River,412,33,82.19,87.85
Mexico,West,2014,Well,185,47,53.39,37.55
USA,Central,2015,Tap,116,25,78.12,16.4
USA,South,2015,Spring,260,4,87.65,25.71
Mexico,Central,2017,Well,472,15,44.35,18.49
USA,Central,2015,River,204,1,0.75,60.32
USA,North,2023,Pond,237,36,79.23,16.75
Mexico,South,2017,Well,23,44,3.2,30.51
Mexico,North,2022,Lake,362,16,44.3,88.76
USA,West,2024,Well,432,1,85.83,78.98
Mexico,Central,2018,Pond,427,40,65.32,29.32
Mexico,Central,2016,Lake,443,27,17.6,56.48
USA,East,2019,Tap,44,4,83.79,43.65
USA,South,2024,River,425,14,3.01,58.24
Mexico,South,2024,Well,233,7,68.04,19.11
USA,South,2019,Spring,274,21,77.51,22.71
USA,East,2018,Well,163,8,65.52,51.15
USA,East,2018,Lake,126,13,44.27,38.83
USA,West,2019,Pond,255,26,99.48,55.9
Mexico,West,2018,River,442,2,54.04,17.32
USA,North,2024,Lake,121,33,12.81,23.55
USA,Central,2016,Spring,4,12,11.67,72.29
Mexico,West,2015,Pond,361,7,33.11,84.48
Mexico,West,2017,Pond,187,23,7.31,13.68
Mexico,West,2017,Pond,202,42,33.95,62.73
USA,Central,2024,Pond,180,40,99.27,18.15
USA,East,2016,Lake,126,5,14.11,42.13
Mexico,North,2016,Pond,314,25,82.49,25.81
USA,South,2023,Lake,104,32,73.77,10.27
Mexico,North,2019,Tap,96,48,60.53,66.46
USA,East,2024,Tap,187,5,94.57,80.88
Mexico,West,2021,Lake,140,17,20.08,24.56
USA,North,2023,Well,9,48,87.96,73.94
Mexico,North,2024,Well,260,3,78.58,87.98
Mexico,North,2017,River,222,31,32.57,37.37
USA,North,2018,Lake,85,34,72.12,66.08
USA,Central,2015,River,495,12,33.4,76.6
Mexico,West,2023,River,203,37,62.54,46.64
Mexico,Central,2021,Well,432,41,24.02,28.7
Mexico,West,2015,Tap,216,25,82.12,47.93
Mexico,East,2021,Well,180,13,81.49,46.56
USA,Central,2015,Pond,91,49,83.2,16.54
Mexico,North,2022,Pond,87,4,15.44,59.14
Mexico,North,2024,Tap,424,3,43.58,54.45
Mexico,East,2016,Tap,390,17,24.75,70.62
Mexico,Central,2022,Tap,438,9,98.67,43.75
Mexico,East,2024,River,432,36,32.83,85.26
Mexico,East,2023,Spring,409,6,12.87,67.39
Mexico,South,2016,River,355,22,55.7,56.63
USA,East,2015,Lake,263,48,9.69,56.29
USA,West,2021,River,8,17,46.65,81.89
Mexico,Central,2020,Spring,119,10,77.74,49.22
USA,West,2021,Lake,34,32,22.39,11.3
USA,South,2020,Well,111,14,8.49,32.21
Mexico,North,2020,Tap,193,41,84.03,17.47
Mexico,West,2015,Spring,83,0,60.27,78.13
Mexico,Central,2016,Lake,424,35,18.79,77.88
USA,North,2023,Well,202,2,25.01,53.43
USA,West,2017,Tap,323,34,51.44,15.47
Mexico,Central,2024,Well,378,28,95.42,82.17
USA,Central,2021,River,121,46,88.78,39.02
USA,North,2021,Well,217,21,77.18,86.89
Mexico,West,2019,River,417,24,17.03,13.81
Mexico,South,2017,River,376,15,99.4,13.65
Mexico,South,2014,Lake,103,19,30.79,88.27
Mexico,Central,2022,Pond,213,11,71.82,72.42
Mexico,East,2015,Well,411,16,93.13,19.83
Mexico,North,2015,River,413,37,72.03,26.96
USA,Central,2023,Lake,275,30,63.77,10.26
Mexico,North,2022,Spring,312,21,67.29,48.94
USA,Central,2020,Tap,362,33,87.92,42.97
Mexico,Central,2020,River,234,26,92.29,35.63
USA,North,2024,Well,26,21,51.37,78.47
Mexico,Central,2018,Spring,499,48,22.29,82.78
Mexico,West,2023,River,7,25,15.82,50.62
Mexico,North,2017,River,306,33,83.58,50.69
USA,North,2015,River,75,27,84.53,72.63
Mexico,West,2024,Tap,180,6,33.95,61.08
Mexico,East,2022,Well,102,17,21.3,81.48
USA,East,2014,Lake,315,46,42.3,50.47
Mexico,South,2016,Lake,421,37,74.5,43.98
USA,East,2020,Tap,125,42,11.87,52.07
USA,West,2024,Pond,82,11,63.03,23.57
Mexico,West,2016,River,387,27,93.4,63.39
USA,East,2015,Pond,47,20,81.51,46.82
Mexico,North,2020,Tap,55,42,93.02,71.0
USA,West,2019,Tap,499,21,94.9,26.94
USA,South,2021,Lake,220,30,21.88,67.61
USA,East,2021,Well,323,37,41.13,86.74
USA,West,2020,Spring,341,39,6.18,46.21
